file_name,ticker,SHORT_NAME,COUNTRY_ISO,COUNTRY_FULL_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_SECTOR_NAME,INDUSTRY_GROUP,INDUSTRY_SECTOR,year_last,n_datapoints,CUR_MKT_CAP
aaon.us.txt,AAON US Equity,AAON INC,US,UNITED STATES,Capital Goods,Industrials,Building Materials,Industrial,2017,3201,2749866466
wts.us.txt,WTS US Equity,WATTS WATER TE-A,US,UNITED STATES,Capital Goods,Industrials,Electronics,Industrial,2017,3201,2745183455
itri.us.txt,ITRI US Equity,ITRON INC,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,3201,2721818518
avt.us.txt,AVT US Equity,AVNET INC,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,3201,2701708864
lpx.us.txt,LPX US Equity,LOUISIANA-PACIFI,US,UNITED STATES,Materials,Materials,Building Materials,Industrial,2017,9042,2668823968
trn.us.txt,TRN US Equity,TRINITY INDUSTRI,US,UNITED STATES,Capital Goods,Industrials,Miscellaneous Manufactur,Industrial,2017,3201,2622975780
bldr.us.txt,BLDR US Equity,BUILDERS FIRSTSO,US,UNITED STATES,Capital Goods,Industrials,Building Materials,Industrial,2017,3121,2613248768
jbt.us.txt,JBT US Equity,JOHN BEAN TECH,US,UNITED STATES,Capital Goods,Industrials,Miscellaneous Manufactur,Industrial,2017,2345,2573854919
brc.us.txt,BRC US Equity,BRADY CORP - A,US,UNITED STATES,Commercial & Professional Serv,Industrials,Electronics,Industrial,2017,3201,2519550874
aeis.us.txt,AEIS US Equity,ADV ENERGY INDS,US,UNITED STATES,Semiconductors & Semiconductor,Information Technology,Electronics,Industrial,2017,3201,2474637516
cwst.us.txt,CWST US Equity,CASELLA WASTE,US,UNITED STATES,Commercial & Professional Serv,Industrials,Environmental Control,Industrial,2017,3201,2443020669
ait.us.txt,AIT US Equity,APPLIED INDU TEC,US,UNITED STATES,Capital Goods,Industrials,Machinery-Diversified,Industrial,2017,3201,2373513240
fele.us.txt,FELE US Equity,FRANKLIN ELEC CO,US,UNITED STATES,Capital Goods,Industrials,Hand/Machine Tools,Industrial,2017,3201,2368683717
vmi.us.txt,VMI US Equity,VALMONT INDS,US,UNITED STATES,Capital Goods,Industrials,Metal Fabricate/Hardware,Industrial,2017,3201,2353067654
kmt.us.txt,KMT US Equity,KENNAMETAL INC,US,UNITED STATES,Capital Goods,Industrials,Hand/Machine Tools,Industrial,2017,3201,2332369667
fn.us.txt,FN US Equity,FABRINET,TH,THAILAND,Technology Hardware & Equipmen,Information Technology,Miscellaneous Manufactur,Industrial,2017,1860,2258770466
vsh.us.txt,VSH US Equity,VISHAY INTERTECH,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,3201,2214515210
gatx.us.txt,GATX US Equity,GATX CORP,US,UNITED STATES,Capital Goods,Industrials,Trucking&Leasing,Industrial,2017,3201,2157518000
ese.us.txt,ESE US Equity,ESCO TECH INC,US,UNITED STATES,Capital Goods,Industrials,Miscellaneous Manufactur,Industrial,2017,3201,2156925624
gsh.us.txt,GSH US Equity,GUANGSHEN RA-ADR,CN,CHINA,Transportation,Industrials,Transportation,Industrial,2017,3201,2033164614
b.us.txt,B US Equity,BARNES GROUP INC,US,UNITED STATES,Capital Goods,Industrials,Aerospace/Defense,Industrial,2017,3201,2018707209
r.us.txt,R US Equity,RYDER SYSTEM INC,US,UNITED STATES,Transportation,Industrials,Transportation,Industrial,2017,9550,2015904689
eurn.us.txt,EURN US Equity,EURONAV NV,BE,BELGIUM,Energy,Energy,Transportation,Industrial,2017,708,2002246891
hi.us.txt,HI US Equity,HILLENBRAND INC,US,UNITED STATES,Capital Goods,Industrials,Miscellaneous Manufactur,Industrial,2017,2430,2000219224
aimc.us.txt,AIMC US Equity,ALTRA INDUSTRIAL,US,UNITED STATES,Capital Goods,Industrials,Machinery-Diversified,Industrial,2017,2746,1998889198
ain.us.txt,AIN US Equity,ALBANY INTL CORP,US,UNITED STATES,Capital Goods,Industrials,Machinery-Diversified,Industrial,2017,3201,1950274000
ktos.us.txt,KTOS US Equity,KRATOS DEFENSE &,US,UNITED STATES,Capital Goods,Industrials,Aerospace/Defense,Industrial,2017,3201,1889237272
sum.us.txt,SUM US Equity,SUMMIT MATERIA-A,US,UNITED STATES,Materials,Materials,Building Materials,Industrial,2017,675,1878708033
wor.us.txt,WOR US Equity,WORTHINGTON INDS,US,UNITED STATES,Materials,Materials,Metal Fabricate/Hardware,Industrial,2017,6960,1875276544
plxs.us.txt,PLXS US Equity,PLEXUS CORP,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,3201,1865008851
bmi.us.txt,BMI US Equity,BADGER METER INC,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,3201,1853321428
fss.us.txt,FSS US Equity,FED SIGNAL CORP,US,UNITED STATES,Capital Goods,Industrials,Miscellaneous Manufactur,Industrial,2017,3201,1809688305
spxc.us.txt,SPXC US Equity,SPX CORP,US,UNITED STATES,Capital Goods,Industrials,Building Materials,Industrial,2017,3201,1796032028
arnc.us.txt,ARNC US Equity,ARCONIC INC,US,UNITED STATES,Capital Goods,Industrials,Aerospace/Defense,Industrial,2017,260,1791738769
flr.us.txt,FLR US Equity,FLUOR CORP,US,UNITED STATES,Capital Goods,Industrials,Engineering&Construction,Industrial,2017,4246,1787223600
